scenario,replicate,method,topk_precision,topk_recall,set_size,shortfall
exact_bt_mild_shift,28,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,28,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,28,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,28,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,28,ss_cbt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,29,marginal_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,29,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,29,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,29,fixed_target_ci_certified_bt,1.0,0.5,1.0,0.6666666666666666
exact_bt_mild_shift,29,ss_cbt,1.0,0.5,1.0,0.6666666666666666
exact_bt_mild_shift,30,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,30,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,30,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,30,fixed_target_ci_certified_bt,1.0,0.6666666666666666,2.0,0.3333333333333333
exact_bt_mild_shift,30,ss_cbt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,31,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,31,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,31,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,31,fixed_target_ci_certified_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,31,ss_cbt,0.5,0.5,2.0,0.3333333333333333
exact_bt_mild_shift,32,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,32,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,32,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,32,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,32,ss_cbt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,33,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,33,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,33,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,33,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,33,ss_cbt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,34,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,34,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,34,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,34,fixed_target_ci_certified_bt,1.0,0.6666666666666666,2.0,0.3333333333333333
exact_bt_mild_shift,34,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
exact_bt_mild_shift,35,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,35,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
