scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,1,ss_cbt,0-3,0.7627188727077844,0.4160404200825631,2.055445791796933,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-4,0.24431195222500438,0.38147071978168956,0.8607137363798762,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-4,0.24431195222500438,0.5940181355372511,1.1652990552870757,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-4,0.24431195222500438,0.4295208532252764,1.0166547241430386,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-4,0.24431195222500438,0.4295208532252764,1.0166547241430386,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,0-4,0.24431195222500438,0.21197511058704005,1.234200466781275,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-5,0.06890781335507275,-0.113877141790521,0.3750927027014057,1.0,0.0,0.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-5,0.06890781335507275,0.032905759471057616,0.6029578180599937,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-5,0.06890781335507275,-0.11534600432616779,0.5097104909339086,1.0,0.0,0.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-5,0.06890781335507275,-0.11534600432616779,0.5097104909339086,1.0,0.0,0.0,0.0
exact_bt_mild_shift,1,ss_cbt,0-5,0.06890781335507275,-0.3305286366094185,0.7248931232171594,1.0,0.0,0.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-6,0.33844810570825445,0.0021242502282028397,0.5071541168335801,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-6,0.33844810570825445,0.13283579171400084,0.7264464922454981,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-6,0.33844810570825445,0.29638157584302927,0.9364003379933299,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-6,0.33844810570825445,0.29638157584302927,0.9364003379933299,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,0-6,0.33844810570825445,0.0033004834048050435,1.2294814304315542,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-7,-0.6991323358645599,-0.2694651061979374,0.2301304716701198,0.0,0.0,0.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-7,-0.6991323358645599,-0.1737071671887952,0.4366487763832688,0.0,0.0,0.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-7,-0.6991323358645599,-0.39130331060648604,0.23609286907086835,0.0,0.0,0.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-7,-0.6991323358645599,-0.39130331060648604,0.23609286907086835,0.0,0.0,0.0,0.0
exact_bt_mild_shift,1,ss_cbt,0-7,-0.6991323358645599,-0.6470367123503507,0.49182627081473296,0.0,0.0,0.0,0.0
exact_bt_mild_shift,1,marginal_bt,1-2,2.5393869064168264,2.0952898910862503,2.716099836696902,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,1-2,2.5393869064168264,2.6235160810836615,3.3844411146156133,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,1-2,2.5393869064168264,2.298083801844588,3.0874150138343257,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,1-2,2.5393869064168264,2.298083801844588,3.0874150138343257,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,1-2,2.5393869064168264,1.9388736094560102,3.4466252062229037,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,1-3,2.3900395299819754,2.136857155682092,2.771838835567441,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,1-3,2.3900395299819754,2.5271802278783735,3.3170679267639294,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,1-3,2.3900395299819754,2.3751548316620483,3.2238622681295745,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,1-3,2.3900395299819754,2.3751548316620483,3.2238622681295745,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,1-3,2.3900395299819754,2.0303509079345847,3.5686661918570386,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,1-4,1.8716326094991955,1.7197994757097095,2.331554466478979,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,1-4,1.8716326094991955,2.078538822236389,2.8025081154825706,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,1-4,1.8716326094991955,1.9103709948501149,2.6633354704303263,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,1-4,1.8716326094991955,1.9103709948501149,2.6633354704303263,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,1-4,1.8716326094991955,1.7990947252600782,2.7746117400203634,1.0,1.0,1.0,0.0
